1,2,14
1,3,1
1,9,8
1,12,11
1,15,16
1,6,7
1,13,10
1,4,5
2,2,3
2,9,14
2,12,1
2,15,8
2,6,11
2,13,16
2,4,7
2,5,10
3,2,13
3,4,6
3,5,15
3,10,12
3,7,9
3,16,3
3,11,14
3,8,1
4,2,7
4,16,10
4,11,5
4,8,4
4,1,13
4,14,6
4,3,15
4,9,12
5,2,6
5,13,15
5,4,12
5,5,9
5,10,3
5,7,14
5,16,1
5,11,8
6,2,8
6,1,11
6,14,16
6,3,7
6,9,10
6,12,5
6,15,4
6,6,13
7,2,10
7,7,5
7,16,4
7,11,13
7,8,6
7,1,15
7,14,12
7,3,9
8,2,12
8,15,9
8,6,3
8,13,14
8,4,1
8,5,8
8,10,11
8,7,16
9,2,15
9,6,12
9,13,9
9,4,3
9,5,14
9,10,1
9,7,8
9,16,11
10,1,5
10,14,4
10,3,13
10,9,6
10,12,15
10,2,16
10,11,7
10,8,10
11,2,1
11,14,8
11,3,11
11,9,16
11,12,7
11,15,10
11,6,5
11,13,4
12,2,5
12,10,4
12,7,13
12,16,6
12,11,15
12,8,12
12,1,9
12,14,3
13,2,11
13,8,16
13,1,7
13,14,10
13,3,5
13,9,4
13,12,13
13,15,6
14,2,4
14,5,13
14,10,6
14,7,15
14,16,12
14,11,9
14,8,3
14,1,14
15,2,9
15,12,3
15,15,14
15,6,1
15,13,8
15,4,11
15,5,16
15,10,7
